order_id,customer_id,customer_unique_id,customer_city,customer_state,order_status,purchase_date,delivery_date,estimated_delivery_date,product_id,category_name,price,freight_value,total_order_value,Segment,RFM_Score
00010242fe8c5a6d1ba2dd792cb16214,3ce436f183e68e07877b285a838db11a,871766c5855e863f6eccc05f988b23cb,campos dos goytacazes,RJ,delivered,2017-09-13 08:59:02,2017-09-20 23:43:48,2017-09-29,4244733e06e7ecb4970a6e2683c13e61,cool_stuff,58.9,13.29,72.19,Hibernating,21
00018f77f2f0320c557190d7a144bdd3,f6dd3ec061db4e3987629fe6b26e5cce,eb28e67c4c0b83846050ddfb8a35d051,santa fe do sul,SP,delivered,2017-04-26 10:53:06,2017-05-12 16:04:24,2017-05-15,e5f2d52b802189ee658865ca93d83a8f,pet_shop,239.9,19.93,259.83,Hibernating,11
000229ec398224ef6ca0657da4fc703e,6489ae5e4333f3693df5ad4372dab6d3,3818d81c6709e39d06b2738a8d3a2474,para de minas,MG,delivered,2018-01-14 14:33:31,2018-01-22 13:19:16,2018-02-05,c777355d18b72b67abbeef9df44fd0fd,furniture_decor,199.0,17.87,216.87,About to Sleep,31
00024acbcdf0a6daa1e931b038114c75,d4eb9395c8c0431ee92fce09860c5a06,af861d436cfc08b2c2ddefd0ba074622,atibaia,SP,delivered,2018-08-08 10:00:35,2018-08-14 13:32:39,2018-08-20,7634da152a4610f1595efa32f14722fc,perfumery,12.99,12.79,25.78,New Customers,51
00042b26cf59d7ce69dfabb4e55b4fd9,58dbd0b2d70206bf40e62cd34e84d795,64b576fb70d441e8f1b2d7d446e483c5,varzea paulista,SP,delivered,2017-02-04 13:57:51,2017-03-01 16:42:31,2017-03-17,ac6c3623068f30de03045865e4e10089,garden_tools,199.9,18.14,218.04,Hibernating,11
00048cc3ae777c65dbb7d2a0634bc1ea,816cbea969fe5b689b39cfc97a506742,85c835d128beae5b4ce8602c491bf385,uberaba,MG,delivered,2017-05-15 21:42:34,2017-05-22 13:44:35,2017-06-06,ef92defde845ab8450f9d70c526ef70f,housewares,21.9,12.69,34.59,Hibernating,11
00054e8431b9d7675808bcb819fb4a32,32e2e6ab09e778d99bf2e0ecd4898718,635d9ac1680f03288e72ada3a1035803,guararapes,SP,delivered,2017-12-10 11:53:48,2017-12-18 22:03:38,2018-01-04,8d4f2bb7e93e6710a28f34fa83ee7d28,telephony,19.9,11.85,31.75,About to Sleep,31
000576fe39319847cbb9d288c5617fa6,9ed5e522dd9dd85b4af4a077526d8117,fda4476abb6307ab3c415b7e6d026526,praia grande,SP,delivered,2018-07-04 12:08:27,2018-07-09 14:04:07,2018-07-25,557d850972a7d6f792fd18ae1400d9b6,garden_tools,810.0,70.75,880.75,New Customers,51
0005a1a1728c9d785b8e2b08b904576c,16150771dfd4776261284213b89c304e,639d23421f5517f69d0c3d6e6564cf0e,santos,SP,delivered,2018-03-19 18:40:33,2018-03-29 18:17:31,2018-03-29,310ae3c140ff94b03219ad0adc3c778f,health_beauty,145.95,11.65,157.6,Promising,41
0005f50442cb953dcd1d21e1fb923495,351d3cb2cee3c7fd0af6616c82df21d3,0782c41380992a5a533489063df0eef6,jandira,SP,delivered,2018-07-02 13:59:39,2018-07-04 17:28:31,2018-07-23,4535b0e1091c278dfd193e5a1d63b39f,books_technical,53.99,11.4,65.39,New Customers,51
